TIPO ,SERIE,NUMERO,NOMBRE,AÑO,MEDIDAS,PESO,DESCRIPCION,Precio U$S,ESTADO,DESTINATARIO,TECNICA,VIDEO
OBRAS AÑO,2023,0097,Calentando el Alma III,2023,Alto:  43 cm         Ancho: 44  cm        Fondo: 23 cm,, ,USD 240,D," Donada Gabriel M iras, Museo Berisso","Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS AÑO,2023,0098,Esperando Respuesta,2023,Alto:  58 cm         Ancho: 40 cm        Fondo: 13 cm,, ,USD 350,C,FO,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS AÑO,2023,0099,Esperanza,2023,Alto:  80 cm         Ancho: 100 cm        Fondo: 16 cm  ,, ,USD 800,v,Cohen,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS AÑO,2023,0100,La Fábrica,2023,Alto: 68 cm         Ancho: 68 cm        Fondo: 21 cm ,16 Kg.,"La Fábrica”, Mención  – “XVI Salón ARTVILO de Pintura y Escultura”
Asociación de Artistas de Vicente López

""Las manos en alto,
las bocas abiertas,
los troncos exaltados, 
las piernas en pisoteo. 
¡Tanta energía derramada! 
La ventana de la fábrica 
continúa cerrada.
La incomodidad no basta 
para derrotar la impunidad. 
Las fuerzas se agotan
ante la indiferencia
Poderes ocultos se enlazan. 
La ventana de la fábrica 
continúa cerrada
 
Los gritos del reclamo 
inauguran un diálogo otro. 
El reclamo justo cae 
en manos del deshonesto. 
La ventana de la fábrica crujiendo se abre.
Las mentiras
los acaricia. 
Y cuando la ventana 
se cierra,
las mandíbulas caen.
",USD 1.000,,,"Técnicas mixtas: ensamblado, tallado y escultura",https://youtube.com/shorts/Sc3kcklLQs4?feature=share
OBRAS AÑO,2023,0101,Familia XXI,2023,Alto: 37 cm  Ancho: 31 cm  Fondo: 14 cm,, ,USD 130,C,Bertuzzi Atelier,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS AÑO,2024,0102,Clamor,2024,Ancho:  80 cm    Alto: 145 cm  Fondo:  35 cm  ,, ,USD 1.900, ,,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS AÑO,2024,0103,Susto III,2024,Alto:  28 cm         Ancho: 30 cm        Fondo: 7 cm,,,USD 100,, ,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS AÑO,2024,0104,Asombro VI,2024,Alto:  33 cm         Ancho: 28 cm        Fondo: 10 cm,,,USD 80, , ,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS AÑO,2024,0105,Familia XXII,2024,Alto:  42 cm         Ancho: 25 cm        Fondo: 16 cm,,,USD 130,, ,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS AÑO,2024,0106,Familia XXIII,2024,Alto:  29 cm         Ancho: 22 cm        Fondo: 9 cm,,,USD 50,D,"Donada, Francisca Verdi ","Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS AÑO,2024,0107,Amigos III,2024,Alto:  29 cm         Ancho: 13 cm        Fondo: 10 cm,,,USD 70,V,NOEMI  150.000,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS AÑO,2024,0108,Familia XXIV,2024,Alto:  30 cm         Ancho: 16 cm        Fondo: 7 cm,,,USD 35,V, ,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS AÑO,2024,0109,Familia XXV,2024,Alto:  20 cm         Ancho: 22 cm        Fondo: 7 cm,, ,USD 70,, ,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS AÑO,2024,0110,Familia XXVI,2024,Alto:  32 cm         Ancho: 31 cm        Fondo: 8 cm,,,USD 60,D,Matias Eckardt,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS AÑO,2024,0111,Familia XXVII,2024,Alto:  31 cm         Ancho: 40 cm        Fondo: 9 cm,,,USD 80,V,"Alicia Nieto, lleva a Nueva York","Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS AÑO,2024,0112,Esperanza a la deriva,2024,Alto:  120 cm         Ancho: 120 cm        Fondo: 25 cm,,"
Esperanza a la Deriva — 1er Premio Escultura — “90° Salón de Otoño SAAP 2025”
Sociedad Argentina de Artistas Plásticos


Esta escultura, creada con materiales reciclados obtenidos del Río de la Plata, representa un homenaje a los navegantes de todas las épocas. 
En su núcleo destaca una cuaderna de un gran bote, reutilizada como símbolo de un barco de refugiados. Cada fragmento que compone esta obra fue rescatado del río, transformando residuos en un mensaje de esperanza. 
La cuaderna, desgastada por el tiempo y las aguas, antes parte de una embarcación perdida, ahora se erige como un homenaje a los innumerables viajes y luchas de aquellos que buscan un nuevo comienzo.
A su alrededor, otros objetos rescatados del río completan la composición, cada uno con su propia historia, uniéndose para formar un relato común de resiliencia.
Este barco,  navega sin fronteras en el océano de nuestras memorias colectivas, recordándonos la importancia de la solidaridad y la empatía en un mundo donde todos somos, de alguna manera, navegantes en busca de un lugar seguro.

",USD 3.000, , ,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS AÑO,2024,0113,Tierra Arrasada,2024,Alto:  76 cm         Ancho: 80  cm        Fondo: 34 cm,, ,USD 700,C,FO,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS AÑO,2024,0114,El Protector,2024,Alto:  42 cm         Ancho: 30 cm        Fondo:  34 cm,,,USD 280,, ,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS AÑO,2024,0115,Familia XXVIII,2024,Alto: 25  cm         Ancho:16  cm        Fondo: 8 cm,, ,USD 80,C,FO,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS AÑO,2024,0116,FAMILIA XXIX,2024,Alto:  22 cm         Ancho: 27 cm        Fondo: 8 cm,,,USD 60,D,Federico Acuña,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS AÑO,2024,0117,Amor Ensamblado,2024,Alto:  52 cm         Ancho:  49 cm        Fondo:  15 cm,,,USD 380,, ,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS AÑO,2024,0118,Siempre Presente ,2024,Alto:  110 cm         Ancho: 47 cm        Fondo: 15  cm,,,USD 450, , ,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS AÑO,2024,0119,Guardianes de la Raiz ,2024,Alto: 70 cm         Ancho:30 cm        Fondo:20  cm,,,USD 400, , ,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS AÑO,2024,0120,Juntos I,2024,Alto :  41 cm     Ancho : 19 cm   Fondo : 17 cm,, ,USD 110,,,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS AÑO,2024,0121,Juntos II,2024,Alto :  48 cm   Ancho : 16 cm   Fondo : 11 cm,, ,USD 100,C,FO,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS AÑO,2024,0122,Juntos III,2024,Alto :  40 cm   Ancho : 14 cm   Fondo : 7 cm,, ,USD 90,,,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS AÑO,2024,0123,Juntos IV,2024,Alto :  37 cm  Ancho : 17 cm Fondo : 7 cm,, ,USD 80,C,FO,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS AÑO,2024,0124,Juntos V,2024,Alto : 27 cm    Ancho : 20 cm   Fondo : 12 cm,, ,USD 80,C,FO,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS AÑO,2025,0125,El Relincho del Río,2025,,,,USD 400,,,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS AÑO,2025,0146,Entrelazados,2025,Alto:  100 cm         Ancho:133 cm        Fondo: 15 cm    ,20 Kg.,"Entre restos arrastrados por el río —troncos erosionados, maderas marcadas por el tiempo— toma forma una multitud silenciosa.

Hay una presencia compartida, son figuras anónimas, reunidas por algo que no se dice, quizá una pérdida, quizá la memoria de un momento común. 
No es un hogar, es un encuentro. Un nudo de historias trenzadas por la ausencia o la esperanza.

Esta escena, encuadrada en un marco antiguo que guarda su propia historia, transforma desechos en humanidad suspendida. 
Porque en cada grieta, en cada fragmento, vibra lo que el río no quiso y que el arte rescata para hacerlo eterno.
",USD 3.000,,,"Técnicas mixtas: ensamblado, tallado y escultura",https://youtube.com/shorts/pOzP-pmFSp8?feature=share
OBRAS AÑO,2025,0147, Ecos de un Hogar,2025,Alto:  58 cm         Ancho: 50 cm        Fondo: 12 cm,,,USD 350,,,"Técnicas mixtas: ensamblado, tallado y escultura",https://youtube.com/shorts/qvDQ3w3Z0VU?feature=share
OBRAS AÑO,2025,0148,Vínculos enmarcados,2025,Alto:  50 cm         Ancho: 40 cm        Fondo: 10 cm,,,USD 290,,,"Técnicas mixtas: ensamblado, tallado y escultura",https://youtube.com/shorts/AnkOxeSS8aw?feature=share
OBRAS AÑO,2025,0149,En discordia,2025,Alto:  40 cm         Ancho :27 cm        Fondo  8 cm,,,USD 150,,,"Técnicas mixtas: ensamblado, tallado y escultura",https://youtube.com/shorts/zeE9ksPCS1s?feature=share
OBRAS AÑO,2025,0150,El Intento,2025,Alto:  82 cm         Ancho: 95 cm        Fondo: 18 cm      ,14 Kg,"""El Intento"" es una obra que fusiona arte, naturaleza y reciclaje en una composición poética y evocadora, la fuerza del río con la emoción de la figura humana. Realizada dentro de un marco antiguo —como una ventana al tiempo—, es un símbolo de lucha, de deseo, de búsqueda. Cada veta, cada imperfección de la madera, cuenta una historia de agua, tiempo y esperanza. Es también una invitación al espectador a mirar más allá de lo establecido, a tender la mano hacia lo posible, desafiando a la quietud, a la resignación, al olvido.
",USD 1.200,,,"Técnicas mixtas: ensamblado, tallado y escultura",https://youtube.com/shorts/m8A0Qxs1v-Y?feature=share
OBRAS AÑO,2025,0151,Memorias al descubierto,2025,"Ancho: 55 cm,  Alto: 75 cm,  Fondo: 12 cm.   ",5 Kg,,USD 780,,,"Técnicas mixtas: ensamblado, tallado y escultura",https://youtube.com/shorts/X_1EM8M2754?feature=share
OBRAS AÑO,2025,0152,Secretos tras el cristal,2025,"Ancho: 55 cm,  Alto: 75 cm,  Fondo: 19 cm.   ",8 Kg.,,USD 900,,,"Técnicas mixtas: ensamblado, tallado y escultura",https://youtube.com/shorts/s8xExjkI3nQ?feature=share
OBRAS SERIE ,Re-Cuadros,0152,Secretos tras el cristal,2025,"Ancho: 55 cm,  Alto: 75 cm,  Fondo: 19 cm.   ",8 Kg.,,USD 900,,,"Técnicas mixtas: ensamblado, tallado y escultura",https://youtube.com/shorts/s8xExjkI3nQ?feature=share
OBRAS SERIE ,Re-Cuadros,0151,Memorias al descubierto,2025,"Ancho: 55 cm,  Alto: 75 cm,  Fondo: 12 cm.   ",5 Kg,,USD 780,,,"Técnicas mixtas: ensamblado, tallado y escultura",https://youtube.com/shorts/X_1EM8M2754?feature=share
OBRAS SERIE ,Re-Cuadros,0150,El Intento,2025,Alto:  82 cm         Ancho: 95 cm        Fondo: 18 cm      ,14 Kg,"""El Intento"" es una obra que fusiona arte, naturaleza y reciclaje en una composición poética y evocadora, la fuerza del río con la emoción de la figura humana. Realizada dentro de un marco antiguo —como una ventana al tiempo—, es un símbolo de lucha, de deseo, de búsqueda. Cada veta, cada imperfección de la madera, cuenta una historia de agua, tiempo y esperanza. Es también una invitación al espectador a mirar más allá de lo establecido, a tender la mano hacia lo posible, desafiando a la quietud, a la resignación, al olvido.
",USD 1.200,,,"Técnicas mixtas: ensamblado, tallado y escultura",https://youtube.com/shorts/m8A0Qxs1v-Y?feature=share
OBRAS SERIE ,Re-Cuadros,0149,En discordia,2025,Alto:  40 cm         Ancho :27 cm        Fondo  8 cm,,,USD 150,,,"Técnicas mixtas: ensamblado, tallado y escultura",https://youtube.com/shorts/zeE9ksPCS1s?feature=share
OBRAS SERIE ,Re-Cuadros,0148,Vínculos enmarcados,2025,Alto:  50 cm         Ancho: 40 cm        Fondo: 10 cm,,,USD 290,,,"Técnicas mixtas: ensamblado, tallado y escultura",https://youtube.com/shorts/AnkOxeSS8aw?feature=share
OBRAS SERIE ,Re-Cuadros,0147, Ecos de un Hogar,2025,Alto:  58 cm         Ancho: 50 cm        Fondo: 12 cm,,,USD 350,,,"Técnicas mixtas: ensamblado, tallado y escultura",https://youtube.com/shorts/qvDQ3w3Z0VU?feature=share
OBRAS SERIE ,Re-Cuadros,0146,Entrelazados,2025,Alto:  100 cm         Ancho:133 cm        Fondo: 15 cm    ,20 Kg.,"Entre restos arrastrados por el río —troncos erosionados, maderas marcadas por el tiempo— toma forma una multitud silenciosa.

Hay una presencia compartida, son figuras anónimas, reunidas por algo que no se dice, quizá una pérdida, quizá la memoria de un momento común. 
No es un hogar, es un encuentro. Un nudo de historias trenzadas por la ausencia o la esperanza.

Esta escena, encuadrada en un marco antiguo que guarda su propia historia, transforma desechos en humanidad suspendida. 
Porque en cada grieta, en cada fragmento, vibra lo que el río no quiso y que el arte rescata para hacerlo eterno.
",USD 3.000,,,"Técnicas mixtas: ensamblado, tallado y escultura",https://youtube.com/shorts/pOzP-pmFSp8?feature=share
OBRAS SERIE ,Re-Cuadros,0020,La Familia,2019,"Ancho: 44 cm, Alto: 34 cm, Fondo: 6 cm","1.3 Kg.   
",,USD 240,D, Tony Postolivo - Mar Azul,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS SERIE ,Juntos,0120,Juntos I,2024,Alto :  41 cm     Ancho : 19 cm   Fondo : 17 cm,, ,USD 110,,,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS SERIE ,Juntos,0121,Juntos II,2024,Alto :  48 cm   Ancho : 16 cm   Fondo : 11 cm,, ,USD 100,C,FO,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS SERIE ,Juntos,0122,Juntos III,2024,Alto :  40 cm   Ancho : 14 cm   Fondo : 7 cm,, ,USD 90,,,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS SERIE ,Juntos,0123,Juntos IV,2024,Alto :  37 cm  Ancho : 17 cm Fondo : 7 cm,, ,USD 80,C,FO,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS SERIE ,Juntos,0124,Juntos V,2024,Alto : 27 cm    Ancho : 20 cm   Fondo : 12 cm,, ,USD 80,C,FO,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS SERIE ,Familias,0024,Familia I,2019,"Ancho: 25 cm, Alto: 35 cm, Fondo: 9 cm","400 g.
  ",,USD 120,D,Nestor Salama  CABA,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS SERIE ,Familias,0025,Familia II,2019,"Ancho: 18 cm, Alto:37 cm, Fondo: 8 cm","1.1Kg.
",,USD 70,D,"Jofre, Pintor","Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS SERIE ,Familias,0045,Familia III,2020,Ancho: 22 cm Alto:43 cm Fondo: 8 cm,1.1 kg  ,,USD 100,D,Marcelo Zilenczi  Vte. López,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS SERIE ,Familias,0046,Familia III-A,2020,Ancho: 20 cm Alto:65 cm Fondo: 7 cm.,1 kg  ,,USD 80,V,Facundo Zarabia,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS SERIE ,Familias,0047,Familia IV,2021,Ancho: 16 cm Alto:48 cm Fondo: 11 cm.," 
2 kg.",,USD 110, , ,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS SERIE ,Familias,0048,Familia V,2021,Ancho: 22 cm Alto:32 cm Fondo: 8 cm.,450 g.,,USD 80,V,Marina,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS SERIE ,Familias,0049,Familia VI,2021,Ancho: 20 cm Alto:34 cm Fondo: 10 cm. ,"600 g.
  ",,USD 80,V,"Guillermina, TETE","Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS SERIE ,Familias,0050,Familia VII,2021,Ancho: 16 cm Alto:26 cm Fondo: 9 cm.,320 g.,,USD 65,V,Gustavo Gabilondo,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS SERIE ,Familias,0055,Familia VIII,2021,Ancho:30 cm Alto: 41 cm Fondo:13 cm ,2 Kg, ,USD 110,V,WHATS CHACU Alejandra 21_11_21,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS SERIE ,Familias,0056, Familia IX,2021,Ancho:20 cm Alto: 37 cm Fondo:10 cm , 2 Kg., ,USD 80,V,Marina,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS SERIE ,Familias,0057, Familia X,2021,Ancho: 30 cm Alto: 38 cm Fondo:11 cm ,1.5 Kg.  , ,USD 90,D,Julio Spinelli,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS SERIE ,Familias,0058, Familia XI,2021,Ancho:37 cm Alto: 47 cm Fondo:13 cm ,1.8 Kg, ,USD 120,V,XXXX,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS SERIE ,Familias,0059, Familia XII,2022,"Ancho:29 cm    Alto: 33 cm     Fondo:8 cm    
","1.3 Kg.   
", ,USD 80, , ,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS SERIE ,Familias,0060, Familia XIII,2022,"Ancho: 33 cm Alto: 31 cm Fondo:9 cm   
",1.4 Kg, ,USD 100,D,"FO  ROTA, la tiene EVA","Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS SERIE ,Familias,0061,Familia XIV,2022,Ancho: 23 cm Alto: 23 cm Fondo: 6 cm,1 Kg., ,USD 50,V,"Fernando Aveldaño, Rosario","Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS SERIE ,Familias,0074,Familia XV,2022,Alto:  36 cm         Ancho: 21  cm        Fondo: 10  cm,625 gr,,USD 70,V,"VENDIDA  PAMPAS Enrique, La Aldea","Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS SERIE ,Familias,0077,Familia XVI,2022,Alto: 15  cm         Ancho: 22 cm        Fondo: 7  cm,300 gr.,,USD 40,D,"Donada, Dolores","Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS SERIE ,Familias,0080,Familia XVII,2023,Alto:  21cm         Ancho: 12cm        Fondo:  6  cm,900 gr.,,USD 40,V,?,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS SERIE ,Familias,0081,Familia XVIII,2023,Alto:  33 cm         Ancho: 14 cm        Fondo:  8  cm,500 gr.,Apoyar o Colgar,USD 50,V,FO,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS SERIE ,Familias,0082,Familia XIX,2023,Alto: 40  cm         Ancho:27 cm        Fondo: 12 cm,600 gr,,USD 70,V,Guillermina TETE,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS SERIE ,Familias,0084,Familia XX,2023,Alto: 27  cm         Ancho: 19 cm        Fondo:  9 cm,600 gr,,USD 75,V,FO,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS SERIE ,Familias,0101,Familia XXI,2023,Alto: 37 cm  Ancho: 31 cm  Fondo: 14 cm,, ,USD 130,C,Bertuzzi Atelier,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS SERIE ,Familias,0105,Familia XXII,2024,Alto:  42 cm         Ancho: 25 cm        Fondo: 16 cm,,,USD 130,, ,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS SERIE ,Familias,0106,Familia XXIII,2024,Alto:  29 cm         Ancho: 22 cm        Fondo: 9 cm,,,USD 50,D,"Donada, Francisca Verdi ","Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS SERIE ,Familias,0108,Familia XXIV,2024,Alto:  30 cm         Ancho: 16 cm        Fondo: 7 cm,,,USD 35,V, ,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS SERIE ,Familias,0109,Familia XXV,2024,Alto:  20 cm         Ancho: 22 cm        Fondo: 7 cm,, ,USD 70,, ,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS SERIE ,Familias,0110,Familia XXVI,2024,Alto:  32 cm         Ancho: 31 cm        Fondo: 8 cm,,,USD 60,D,Matias Eckardt,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS SERIE ,Familias,0111,Familia XXVII,2024,Alto:  31 cm         Ancho: 40 cm        Fondo: 9 cm,,,USD 80,V,"Alicia Nieto, lleva a Nueva York","Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS SERIE ,Familias,0115,Familia XXVIII,2024,Alto: 25  cm         Ancho:16  cm        Fondo: 8 cm,, ,USD 80,C,FO,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS SERIE ,Familias,0116,FAMILIA XXIX,2024,Alto:  22 cm         Ancho: 27 cm        Fondo: 8 cm,,,USD 60,D,Federico Acuña,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS SERIE ,Asombro,0086,Asombro I,2023,Alto:  29 cm         Ancho: 14 cm        Fondo: 12 cm,500 gr.,,USD 70,V,FO,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS SERIE ,Asombro,0087,Asombro II,2023,Alto:  26 cm         Ancho: 26 cm        Fondo: 12 cm, ,,USD 80,V,Cecilia Di…,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS SERIE ,Asombro,0088,Asombro III,2023,Alto:  24 cm         Ancho: 20 cm        Fondo: 10 cm,700 gr.,,USD 70,V, DONDE ESTA ?,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS SERIE ,Asombro,0089,Asombro IV ,,Alto:  29 cm         Ancho: 24 cm        Fondo: 12 cm,1 Kg.,,USD 70,V,Carlos Calleja - Teatro colon,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS SERIE ,Asombro,0090,Asombro V,2023,Alto:  27 cm         Ancho: 20 cm        Fondo: 6 cm,650 gr.,,USD 75,V,XXXX,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS SERIE ,Asombro,0104,Asombro VI,2024,Alto:  33 cm         Ancho: 28 cm        Fondo: 10 cm,,,USD 80, , ,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS SERIE ,Amigos,0092,Amigos I,2023,Alto:  30 cm         Ancho: 20 cm        Fondo: 9 cm,,,USD 90,,,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS SERIE ,Amigos,0096,Amigos II,2023,Alto:  50 cm         Ancho: 23 cm        Fondo: 8 cm,,Apoyar o Colgar,USD 140,,,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS SERIE ,Amigos,0107,Amigos III,2024,Alto:  29 cm         Ancho: 13 cm        Fondo: 10 cm,,,USD 70,V,NOEMI  150.000,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS SERIE ,Alegría,0064,Alegría II,2022,Ancho:  23 cm    Alto: 33 cm     Fondo:  10 cm  ,"1.3 Kg.   
",,USD 80,,,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS SERIE ,Alegría,0065,Alegría II,2022,Ancho: 28 cm Alto: 40 cm              Fondo 12 cm,1.7 Kg,,USD 70,V,Guido dilagiovanna,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS SERIE ,Alegría,0066,Alegría IV,2022,Ancho: 20 cm   Alto: 42 cm Fondo:13  cm ,800 gs., ,USD 130,V,Galería Caracoles - Jose Ignacio,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS SERIE ,Alegría,0067,Alegría V,2022,Ancho:  21  cm    Alto: 30 cm  Fondo:  10 cm  ,1.2 Kg., ,USD 75,V,Alejandra Mota,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS SERIE ,Alegría,0068,Alegría VI,2022,Ancho: 24 cm      Alto: 30 cm    Fondo:9 cm ,2 Kg., ,USD 130,V,Galería Caracoles - Jose Ignacio,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS SERIE ,Alegría,0070,Alegría VII,2022,Ancho: 24 cm      Alto: 55 cm   Fondo:18 cm ,2.4 Kg, ,USD 200,V,Galería Caracoles - Jose Ignacio,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS SERIE ,Alegría,0073,ALEGRIA VIII,2022,Alto 98:   cm         Ancho: 65  cm        Fondo 19:   cm,680 gr.,,USD 70,V,2/1/2023 Adriana Gerzonswit ,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS SERIE ,Alegría,0075,Alegría IX,2022,Alto: 33  cm         Ancho: 23  cm        Fondo:7   cm   Peso : 560 gr.,560 gr.,,USD 70,V,? A donde esta ?,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS SERIE ,Alegría,0076,Alegría X,2022,Alto: 34  cm         Ancho:14  cm        Fondo:9   cm    .,750 gr.,,USD 70,V,"Laura Perez Morales, 10.000$ 23/12/22","Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS SERIE ,Alegría,0083,Alegría XI,2023,Alto:   29 cm         Ancho: 24 cm        Fondo:  9 cm,500 gr.,,USD 75,V,FO,"Técnicas mixtas: ensamblado, tallado y escultura",
ARTE AFRICANO,Bastones,1001,Báculo 001,1975,97 cm.,,"En la mayoría de los países africanos los bastones de ceremonia son objetos que implican gran solemnidad.  Son un signo externo de poder. Son utilizados por el rey, el jefe de cantón, el jefe de poblado o por los notables. Son objetos de autoridad y de prestigio.",,V,,Tallado a cortaplumas,
ARTE AFRICANO,Bastones,1015,Báculo 015,2006,115 cm.,,"En la mayoría de los países africanos los bastones de ceremonia son objetos que implican gran solemnidad.  Son un signo externo de poder. Son utilizados por el rey, el jefe de cantón, el jefe de poblado o por los notables. Son objetos de autoridad y de prestigio.",,,,Tallado a cortaplumas,
ARTE AFRICANO,Bastones,1020,Báculo 020,2007,127 cm.,,"En la mayoría de los países africanos los bastones de ceremonia son objetos que implican gran solemnidad.  Son un signo externo de poder. Son utilizados por el rey, el jefe de cantón, el jefe de poblado o por los notables. Son objetos de autoridad y de prestigio.",,,,Tallado a cortaplumas,
ARTE AFRICANO,Bastones,1024,Báculo 024,2008,130 cm.,,"En la mayoría de los países africanos los bastones de ceremonia son objetos que implican gran solemnidad.  Son un signo externo de poder. Son utilizados por el rey, el jefe de cantón, el jefe de poblado o por los notables. Son objetos de autoridad y de prestigio.",,,,Tallado a cortaplumas,
ARTE AFRICANO,Bastones,1031,Báculo 031,2011,127 cm.,,"En la mayoría de los países africanos los bastones de ceremonia son objetos que implican gran solemnidad.  Son un signo externo de poder. Son utilizados por el rey, el jefe de cantón, el jefe de poblado o por los notables. Son objetos de autoridad y de prestigio.",,,,Tallado a cortaplumas,
ARTE AFRICANO,Bastones,1039,Báculo 039,2016,103 cm.,,"En la mayoría de los países africanos los bastones de ceremonia son objetos que implican gran solemnidad.  Son un signo externo de poder. Son utilizados por el rey, el jefe de cantón, el jefe de poblado o por los notables. Son objetos de autoridad y de prestigio.",,,,Tallado a cortaplumas,
ARTE AFRICANO,Bastones,1046,Báculo 046,2021,140 cm.,,"En la mayoría de los países africanos los bastones de ceremonia son objetos que implican gran solemnidad.  Son un signo externo de poder. Son utilizados por el rey, el jefe de cantón, el jefe de poblado o por los notables. Son objetos de autoridad y de prestigio.",,,,Tallado a cortaplumas,
ARTE AFRICANO,Bastones,1048,Báculo 048,2023,124 cm.,,"En la mayoría de los países africanos los bastones de ceremonia son objetos que implican gran solemnidad.  Son un signo externo de poder. Son utilizados por el rey, el jefe de cantón, el jefe de poblado o por los notables. Son objetos de autoridad y de prestigio.",,,,Tallado a cortaplumas,
ARTE AFRICANO,Mascaras,2006,Máscara 006,1986,Alto : 63 cm   Ancho : 28  cm.   Fondo :  19 cm.,,"La función de las máscaras es transformar a sus portadores en personas más poderosas, ya que gracias al espíritu de la máscara, se da vida a un ser de otra naturaleza, como puede ser un dios o un antepasado. Tradicionalmente son utilizadas en eventos religiosos y sociales, como  ritos agrarios, funerarios, iniciáticos, Fiestas de deidades etc.
En estos rituales, las máscaras africanas representan deidades, bestias mitológicas y dioses; metáforas para el bien y el mal, los muertos, los animales, la naturaleza y cualquier otra fuerza que se considere más poderosa que el hombre mismo.",,,,Tallado,
